FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,Comp
FB294,8/20/2019,8:45,OOJ,8/20/2019,10:00,TGD,C1F1
FB294,8/21/2019,8:45,OOJ,8/21/2019,10:00,TGD,C1F1
FB294,8/1/2019,9:00,FBX,8/1/2019,10:45,TGD,C1F1
FB244,8/1/2019,9:05,THJ,8/1/2019,10:25,TGD,C1F1
FB674,8/1/2019,9:10,FBX,8/1/2019,10:25,GKS,C1F1
FB434,8/1/2019,9:10,XSJ,8/1/2019,10:55,TGD,C1F1
FB434,8/7/2019,9:15,HWX,8/7/2019,10:55,TGD,C1F1
FB622,8/1/2019,9:20,SXJ,8/1/2019,10:40,TGD,C1F1
FB634,8/1/2019,9:30,NOU,8/1/2019,11:05,TGD,C1F1
FB654,8/1/2019,9:30,MYJ,8/1/2019,11:00,TGD,C1F1
FB54,8/2/2019,9:30,MYJ,8/2/2019,11:00,TGD,C1F1
FB584,8/1/2019,9:35,OSY,8/1/2019,10:45,TGD,C1F1
FB584,8/1/2019,9:35,AXO,8/1/2019,10:45,TGD,C1F1
FB316,8/2/2019,9:35,AXO,8/2/2019,10:45,TGD,C1F1
FB404,8/3/2019,9:35,AXO,8/3/2019,10:45,TGD,C1F1
FB404,8/4/2019,9:35,AXO,8/4/2019,10:45,TGD,C1F1
FB404,8/5/2019,9:35,AXO,8/5/2019,10:45,TGD,C1F1
FB404,8/6/2019,9:35,AXO,8/6/2019,10:45,TGD,C1F1
FB404,8/7/2019,9:35,AXO,8/7/2019,10:45,TGD,C1F1
FB404,8/8/2019,9:35,AXO,8/8/2019,10:45,TGD,C1F1
FB404,8/9/2019,9:35,AXO,8/9/2019,10:45,TGD,C1F1
FB404,8/10/2019,9:35,AXO,8/10/2019,10:45,TGD,C1F1
FB404,8/11/2019,9:35,AXO,8/11/2019,10:45,TGD,C1F1
FB404,8/12/2019,9:35,AXO,8/12/2019,10:45,TGD,C1F1
FB404,8/13/2019,9:35,AXO,8/13/2019,10:45,TGD,C1F1
FB404,8/14/2019,9:35,AXO,8/14/2019,10:45,TGD,C1F1
FB404,8/16/2019,9:35,AXO,8/16/2019,10:45,TGD,C1F1
FB404,8/17/2019,9:35,AXO,8/17/2019,10:45,TGD,C1F1
FB404,8/18/2019,9:35,AXO,8/18/2019,10:45,TGD,C1F1
FB404,8/19/2019,9:35,AXO,8/19/2019,10:45,TGD,C1F1
FB404,8/20/2019,9:35,AXO,8/20/2019,10:45,TGD,C1F1
FB404,8/21/2019,9:35,AXO,8/21/2019,10:45,TGD,C1F1
FB404,8/22/2019,9:35,AXO,8/22/2019,10:45,TGD,C1F1
FB404,8/23/2019,9:35,AXO,8/23/2019,10:45,TGD,C1F1
FB404,8/24/2019,9:35,AXO,8/24/2019,10:45,TGD,C1F1
FB404,8/25/2019,9:35,AXO,8/25/2019,10:45,TGD,C1F1
FB404,8/26/2019,9:35,AXO,8/26/2019,10:45,TGD,C1F1
FB404,8/27/2019,9:35,AXO,8/27/2019,10:45,TGD,C1F1
FB404,8/28/2019,9:35,AXO,8/28/2019,10:45,TGD,C1F1
FB404,8/29/2019,9:35,AXO,8/29/2019,10:45,TGD,C1F1
FB404,8/1/2019,9:45,GKS,8/1/2019,11:30,NOU,C1F1
FB404,8/2/2019,9:45,GKS,8/2/2019,11:30,NOU,C1F1
FB703,8/1/2019,9:45,OAX,8/1/2019,11:05,TGD,C1F1
FB703,8/1/2019,9:50,SXA,8/1/2019,12:25,TGD,C1F1
FB534,8/1/2019,9:55,XMH,8/1/2019,11:35,TGD,C1F1
FB994,8/2/2019,9:55,XMH,8/2/2019,11:35,TGD,C1F1
FB604,8/3/2019,9:55,XMH,8/3/2019,11:35,TGD,C1F1
FB604,8/4/2019,9:55,XMH,8/4/2019,11:35,TGD,C1F1
FB604,8/5/2019,9:55,XMH,8/5/2019,11:35,TGD,C1F1
FB604,8/6/2019,9:55,XMH,8/6/2019,11:35,TGD,C1F1
FB604,8/7/2019,9:55,XMH,8/7/2019,11:35,TGD,C1F1
FB604,8/8/2019,9:55,XMH,8/8/2019,11:35,TGD,C1F1
FB604,8/9/2019,9:55,XMH,8/9/2019,11:35,TGD,C1F1
FB604,8/10/2019,9:55,XMH,8/10/2019,11:35,TGD,C1F1
FB604,8/13/2019,9:55,XMH,8/13/2019,11:35,TGD,C1F1
FB604,8/15/2019,9:55,XMH,8/15/2019,11:35,TGD,C1F1
FB604,8/16/2019,9:55,XMH,8/16/2019,11:35,TGD,C1F1
FB604,8/17/2019,9:55,XMH,8/17/2019,11:35,TGD,C1F1
FB604,8/18/2019,9:55,XMH,8/18/2019,11:35,TGD,C1F1
FB604,8/19/2019,9:55,XMH,8/19/2019,11:35,TGD,C1F1
FB604,8/20/2019,9:55,XMH,8/20/2019,11:35,TGD,C1F1
FB604,8/21/2019,9:55,XMH,8/21/2019,11:35,TGD,C1F1
FB604,8/22/2019,9:55,XMH,8/22/2019,11:35,TGD,C1F1
FB604,8/1/2019,10:00,UDJ,8/1/2019,11:20,HOM,C1F1
FB604,8/1/2019,10:00,FBX,8/1/2019,11:40,SXA,C1F1
FB734,8/2/2019,10:00,FBX,8/2/2019,11:40,SXA,C1F1
FB1205,8/5/2019,10:00,HOM,8/5/2019,11:15,TGD,C1F1
FB1205,8/6/2019,10:00,HOM,8/6/2019,11:15,TGD,C1F1
FB20,8/7/2019,10:00,HOM,8/7/2019,11:15,TGD,C1F1
FB20,8/8/2019,10:00,HOM,8/8/2019,11:15,TGD,C1F1
FB20,8/1/2019,10:10,FBX,8/1/2019,11:55,TGD,C1F1
FB20,8/2/2019,10:10,FBX,8/2/2019,11:55,TGD,C1F1
FB248,8/3/2019,10:10,FBX,8/3/2019,11:55,TGD,C1F1
FB248,8/4/2019,10:10,FBX,8/4/2019,11:55,TGD,C1F1
FB248,8/1/2019,10:20,XNZ,8/1/2019,11:40,TGD,C1F1
FB248,8/2/2019,10:20,XNZ,8/2/2019,11:40,TGD,C1F1
FB564,8/8/2019,10:20,XNZ,8/8/2019,11:40,TGD,C1F1
FB564,8/1/2019,10:25,THJ,8/1/2019,11:50,TGD,C1F1
FB564,8/1/2019,10:25,HOM,8/1/2019,11:10,XNZ,C1F1
FB676,8/2/2019,10:25,HOM,8/2/2019,11:10,XNZ,C1F1
FB1605,8/3/2019,10:25,HOM,8/3/2019,11:10,XNZ,C1F1
FB1605,8/4/2019,10:25,HOM,8/4/2019,11:10,XNZ,C1F1
FB1605,8/5/2019,10:25,HOM,8/5/2019,11:10,XNZ,C1F1
FB1605,8/6/2019,10:25,HOM,8/6/2019,11:10,XNZ,C1F1
FB1605,8/7/2019,10:25,HOM,8/7/2019,11:10,XNZ,C1F1
FB1605,8/8/2019,10:25,HOM,8/8/2019,11:10,XNZ,C1F1
FB1605,8/9/2019,10:25,HOM,8/9/2019,11:10,XNZ,C1F1
FB1605,8/10/2019,10:25,HOM,8/10/2019,11:10,XNZ,C1F1
FB1605,8/11/2019,10:25,HOM,8/11/2019,11:10,XNZ,C1F1
FB1605,8/12/2019,10:25,HOM,8/12/2019,11:10,XNZ,C1F1
FB1605,8/13/2019,10:25,HOM,8/13/2019,11:10,XNZ,C1F1
FB1605,8/14/2019,10:25,HOM,8/14/2019,11:10,XNZ,C1F1
FB1605,8/15/2019,10:25,HOM,8/15/2019,11:10,XNZ,C1F1
FB1605,8/9/2019,10:30,SHO,8/9/2019,12:05,TGD,C1F1
FB1605,8/23/2019,10:45,XMJ,8/23/2019,12:30,TGD,C1F1
FB794,8/1/2019,10:50,GKU,8/1/2019,12:40,TGD,C1F1
FB644,8/1/2019,10:55,SXA,8/1/2019,13:30,TGD,C1F1
FB664,8/1/2019,11:00,HOM,8/1/2019,13:05,SXA,C1F1
FB462,8/2/2019,11:00,HOM,8/2/2019,13:05,SXA,C1F1
FB765,8/3/2019,11:00,HOM,8/3/2019,13:05,SXA,C1F1
FB765,8/4/2019,11:00,HOM,8/4/2019,13:05,SXA,C1F1
FB765,8/5/2019,11:00,HOM,8/5/2019,13:05,SXA,C1F1
FB765,8/6/2019,11:00,HOM,8/6/2019,13:05,SXA,C1F1
FB765,8/7/2019,11:00,HOM,8/7/2019,13:05,SXA,C1F1
FB765,8/8/2019,11:00,HOM,8/8/2019,13:05,SXA,C1F1
FB765,8/9/2019,11:00,HOM,8/9/2019,13:05,SXA,C1F1
FB765,8/10/2019,11:00,HOM,8/10/2019,13:05,SXA,C1F1
FB765,8/11/2019,11:00,HOM,8/11/2019,13:05,SXA,C1F1
FB765,8/12/2019,11:00,HOM,8/12/2019,13:05,SXA,C1F1
FB765,8/13/2019,11:00,HOM,8/13/2019,13:05,SXA,C1F1
FB765,8/14/2019,11:00,HOM,8/14/2019,13:05,SXA,C1F1
FB765,8/15/2019,11:00,HOM,8/15/2019,13:05,SXA,C1F1
FB765,8/16/2019,11:00,HOM,8/16/2019,13:05,SXA,C1F1
FB765,8/17/2019,11:00,HOM,8/17/2019,13:05,SXA,C1F1
FB765,8/1/2019,11:00,HOM,8/1/2019,12:15,TGD,C1F1
FB765,8/2/2019,11:00,HOM,8/2/2019,12:15,TGD,C1F1
FB22,8/3/2019,11:00,HOM,8/3/2019,12:15,TGD,C1F1
FB22,8/4/2019,11:00,HOM,8/4/2019,12:15,TGD,C1F1
FB22,8/5/2019,11:00,HOM,8/5/2019,12:15,TGD,C1F1
FB22,8/6/2019,11:00,HOM,8/6/2019,12:15,TGD,C1F1
FB22,8/7/2019,11:00,HOM,8/7/2019,12:15,TGD,C1F1
FB22,8/8/2019,11:00,HOM,8/8/2019,12:15,TGD,C1F1
FB22,8/9/2019,11:00,HOM,8/9/2019,12:15,TGD,C1F1
FB22,8/10/2019,11:00,HOM,8/10/2019,12:15,TGD,C1F1
FB22,8/11/2019,11:00,HOM,8/11/2019,12:15,TGD,C1F1
FB22,8/12/2019,11:00,HOM,8/12/2019,12:15,TGD,C1F1
FB22,8/13/2019,11:00,HOM,8/13/2019,12:15,TGD,C1F1
FB22,8/14/2019,11:00,HOM,8/14/2019,12:15,TGD,C1F1
FB22,8/15/2019,11:00,HOM,8/15/2019,12:15,TGD,C1F1
FB22,8/16/2019,11:00,HOM,8/16/2019,12:15,TGD,C1F1
FB22,8/17/2019,11:00,HOM,8/17/2019,12:15,TGD,C1F1
FB22,8/18/2019,11:00,HOM,8/18/2019,12:15,TGD,C1F1
FB22,8/1/2019,11:05,NOU,8/1/2019,12:55,HOM,C1F1
FB22,8/1/2019,11:05,XMJ,8/1/2019,12:40,SXA,C1F1
FB774,8/2/2019,11:05,XMJ,8/2/2019,12:40,SXA,C1F1
FB1867,8/3/2019,11:05,XMJ,8/3/2019,12:40,SXA,C1F1
FB1867,8/4/2019,11:05,XMJ,8/4/2019,12:40,SXA,C1F1
FB1867,8/5/2019,11:05,XMJ,8/5/2019,12:40,SXA,C1F1
FB1867,8/6/2019,11:05,XMJ,8/6/2019,12:40,SXA,C1F1
FB1867,8/7/2019,11:05,XMJ,8/7/2019,12:40,SXA,C1F1
FB1867,8/8/2019,11:05,XMJ,8/8/2019,12:40,SXA,C1F1
FB1867,8/9/2019,11:05,XMJ,8/9/2019,12:40,SXA,C1F1
FB1867,8/10/2019,11:05,XMJ,8/10/2019,12:40,SXA,C1F1
FB1867,8/11/2019,11:05,XMJ,8/11/2019,12:40,SXA,C1F1
FB1867,8/12/2019,11:05,XMJ,8/12/2019,12:40,SXA,C1F1
FB1867,8/13/2019,11:05,XMJ,8/13/2019,12:40,SXA,C1F1
FB1867,8/14/2019,11:05,XMJ,8/14/2019,12:40,SXA,C1F1
FB1867,8/15/2019,11:05,XMJ,8/15/2019,12:40,SXA,C1F1
FB1867,8/16/2019,11:05,XMJ,8/16/2019,12:40,SXA,C1F1
FB1867,8/17/2019,11:05,XMJ,8/17/2019,12:40,SXA,C1F1
FB1867,8/18/2019,11:05,XMJ,8/18/2019,12:40,SXA,C1F1
FB1867,8/19/2019,11:05,XMJ,8/19/2019,12:40,SXA,C1F1
FB1867,8/20/2019,11:05,XMJ,8/20/2019,12:40,SXA,C1F1
FB1867,8/21/2019,11:05,XMJ,8/21/2019,12:40,SXA,C1F1
FB1867,8/22/2019,11:05,XMJ,8/22/2019,12:40,SXA,C1F1
FB1867,8/23/2019,11:05,XMJ,8/23/2019,12:40,SXA,C1F1
FB1867,8/24/2019,11:05,XMJ,8/24/2019,12:40,SXA,C1F1
FB1867,8/26/2019,11:05,XMJ,8/26/2019,12:40,SXA,C1F1
FB1867,8/27/2019,11:05,XMJ,8/27/2019,12:40,SXA,C1F1
FB1867,8/28/2019,11:05,XMJ,8/28/2019,12:40,SXA,C1F1
FB1867,8/1/2019,11:10,SXA,8/1/2019,12:55,FBX,C1F1
FB1867,8/1/2019,11:10,SXA,8/1/2019,13:10,HOM,C1F1
FB1206,8/2/2019,11:10,SXA,8/2/2019,13:10,HOM,C1F1
FB764,8/1/2019,11:10,TGD,8/1/2019,12:10,UYS,C1F1
FB764,8/1/2019,11:20,FBX,8/1/2019,13:05,TGD,C1F1
FB395,8/2/2019,11:20,FBX,8/2/2019,13:05,TGD,C1F1
FB250,8/3/2019,11:20,FBX,8/3/2019,13:05,TGD,C1F1
FB250,8/4/2019,11:20,FBX,8/4/2019,13:05,TGD,C1F1
FB250,8/1/2019,11:25,THJ,8/1/2019,13:20,SXA,C1F1
FB250,8/2/2019,11:25,THJ,8/2/2019,13:20,SXA,C1F1
FB1861,8/3/2019,11:25,THJ,8/3/2019,13:20,SXA,C1F1
FB1861,8/4/2019,11:25,THJ,8/4/2019,13:20,SXA,C1F1
FB1861,8/5/2019,11:25,THJ,8/5/2019,13:20,SXA,C1F1
FB1861,8/6/2019,11:25,THJ,8/6/2019,13:20,SXA,C1F1
FB1861,8/7/2019,11:25,THJ,8/7/2019,13:20,SXA,C1F1
FB1861,8/8/2019,11:25,THJ,8/8/2019,13:20,SXA,C1F1
FB1861,8/9/2019,11:25,THJ,8/9/2019,13:20,SXA,C1F1
FB1861,8/10/2019,11:25,THJ,8/10/2019,13:20,SXA,C1F1
FB1861,8/11/2019,11:25,THJ,8/11/2019,13:20,SXA,C1F1
FB1861,8/12/2019,11:25,THJ,8/12/2019,13:20,SXA,C1F1
FB1861,8/13/2019,11:25,THJ,8/13/2019,13:20,SXA,C1F1
FB1861,8/14/2019,11:25,THJ,8/14/2019,13:20,SXA,C1F1
FB1861,8/15/2019,11:25,THJ,8/15/2019,13:20,SXA,C1F1
FB1861,8/16/2019,11:25,THJ,8/16/2019,13:20,SXA,C1F1
FB1861,8/17/2019,11:25,THJ,8/17/2019,13:20,SXA,C1F1
FB1861,8/18/2019,11:25,THJ,8/18/2019,13:20,SXA,C1F1
FB1861,8/19/2019,11:25,THJ,8/19/2019,13:20,SXA,C1F1
FB1861,8/20/2019,11:25,THJ,8/20/2019,13:20,SXA,C1F1
FB1861,8/21/2019,11:25,THJ,8/21/2019,13:20,SXA,C1F1
FB1861,8/22/2019,11:25,THJ,8/22/2019,13:20,SXA,C1F1
FB1861,8/1/2019,11:25,XSJ,8/1/2019,13:10,TGD,C1F1
FB1861,8/2/2019,11:25,XSJ,8/2/2019,13:10,TGD,C1F1
FB624,8/3/2019,11:25,XSJ,8/3/2019,13:10,TGD,C1F1
FB624,8/1/2019,11:25,TGD,8/1/2019,12:50,XNZ,C1F1
FB624,8/1/2019,11:30,TGD,8/1/2019,13:20,FBX,C1F1
FB563,8/1/2019,11:30,FBX,8/1/2019,13:55,NOU,C1F1
FB251,8/1/2019,11:30,OSY,8/1/2019,12:55,NOU,C1F1
FB289,8/2/2019,11:30,FBX,8/2/2019,13:55,NOU,C1F1
FB1181,8/2/2019,11:30,OSY,8/2/2019,12:55,NOU,C1F1
FB289,8/3/2019,11:30,FBX,8/3/2019,13:55,NOU,C1F1
FB1181,8/4/2019,11:30,FBX,8/4/2019,13:55,NOU,C1F1
FB289,8/5/2019,11:30,FBX,8/5/2019,13:55,NOU,C1F1
FB289,8/8/2019,11:30,FBX,8/8/2019,13:55,NOU,C1F1
FB289,8/1/2019,11:30,NOU,8/1/2019,13:05,TGD,C1F1
FB289,8/3/2019,11:35,OSY,8/3/2019,13:00,NOU,C1F1
FB58,8/4/2019,11:35,OSY,8/4/2019,13:00,NOU,C1F1
FB1181,8/1/2019,11:35,TGD,8/1/2019,14:15,SXA,C1F1
FB1181,8/1/2019,11:40,SXA,8/1/2019,14:25,TGD,C1F1
FB471,8/2/2019,11:40,SXA,8/2/2019,14:25,TGD,C1F1
FB2158,8/9/2019,11:40,XMH,8/9/2019,13:20,TGD,C1F1
FB2158,8/10/2019,11:40,XMH,8/10/2019,13:20,TGD,C1F1
FB608,8/11/2019,11:40,XMH,8/11/2019,13:20,TGD,C1F1
FB608,8/13/2019,11:40,XMH,8/13/2019,13:20,TGD,C1F1
FB608,8/15/2019,11:40,XMH,8/15/2019,13:20,TGD,C1F1
FB608,8/16/2019,11:40,XMH,8/16/2019,13:20,TGD,C1F1
FB608,8/17/2019,11:40,XMH,8/17/2019,13:20,TGD,C1F1
FB608,8/18/2019,11:40,XMH,8/18/2019,13:20,TGD,C1F1
FB608,8/1/2019,11:45,XNZ,8/1/2019,12:30,HOM,C1F1
FB608,8/2/2019,11:45,XNZ,8/2/2019,12:30,HOM,C1F1
FB1606,8/3/2019,11:45,XNZ,8/3/2019,12:30,HOM,C1F1
FB1606,8/4/2019,11:45,XNZ,8/4/2019,12:30,HOM,C1F1
FB1606,8/5/2019,11:45,XNZ,8/5/2019,12:30,HOM,C1F1
FB1606,8/6/2019,11:45,XNZ,8/6/2019,12:30,HOM,C1F1
FB1606,8/7/2019,11:45,XNZ,8/7/2019,12:30,HOM,C1F1
FB1606,8/8/2019,11:45,XNZ,8/8/2019,12:30,HOM,C1F1
FB1606,8/9/2019,11:45,XNZ,8/9/2019,12:30,HOM,C1F1
FB1606,8/10/2019,11:45,XNZ,8/10/2019,12:30,HOM,C1F1
FB1606,8/11/2019,11:45,XNZ,8/11/2019,12:30,HOM,C1F1
FB1606,8/12/2019,11:45,XNZ,8/12/2019,12:30,HOM,C1F1
FB1606,8/13/2019,11:45,XNZ,8/13/2019,12:30,HOM,C1F1
FB1606,8/14/2019,11:45,XNZ,8/14/2019,12:30,HOM,C1F1
FB1606,8/15/2019,11:45,XNZ,8/15/2019,12:30,HOM,C1F1
FB1606,8/1/2019,11:45,OAX,8/1/2019,13:45,SXA,C1F1
FB1606,8/2/2019,11:45,OAX,8/2/2019,13:45,SXA,C1F1
FB1621,8/3/2019,11:45,OAX,8/3/2019,13:45,SXA,C1F1
FB1621,8/4/2019,11:45,OAX,8/4/2019,13:45,SXA,C1F1
FB1621,8/1/2019,11:50,NOU,8/1/2019,13:40,HOM,C1F1
FB1621,8/1/2019,11:50,MYJ,8/1/2019,13:20,TGD,C1F1
FB1142,8/2/2019,11:50,MYJ,8/2/2019,13:20,TGD,C1F1
FB590,8/3/2019,11:50,MYJ,8/3/2019,13:20,TGD,C1F1
FB590,8/4/2019,11:50,MYJ,8/4/2019,13:20,TGD,C1F1
FB590,8/5/2019,11:50,MYJ,8/5/2019,13:20,TGD,C1F1
FB590,8/6/2019,11:50,MYJ,8/6/2019,13:20,TGD,C1F1
FB590,8/7/2019,11:50,MYJ,8/7/2019,13:20,TGD,C1F1
FB590,8/14/2019,11:50,AXO,8/14/2019,13:00,TGD,C1F1
FB590,8/1/2019,11:55,TGD,8/1/2019,14:45,HUK,C1F1
FB406,8/1/2019,11:55,HOM,8/1/2019,13:50,NOU,C1F1
FB91,8/2/2019,11:55,HOM,8/2/2019,13:50,NOU,C1F1
FB775,8/3/2019,11:55,HOM,8/3/2019,13:50,NOU,C1F1
FB775,8/4/2019,11:55,HOM,8/4/2019,13:50,NOU,C1F1
FB775,8/5/2019,11:55,HOM,8/5/2019,13:50,NOU,C1F1
FB775,8/6/2019,11:55,HOM,8/6/2019,13:50,NOU,C1F1
FB775,8/7/2019,11:55,HOM,8/7/2019,13:50,NOU,C1F1
FB775,8/8/2019,11:55,HOM,8/8/2019,13:50,NOU,C1F1
FB775,8/9/2019,11:55,HOM,8/9/2019,13:50,NOU,C1F1
FB775,8/10/2019,11:55,HOM,8/10/2019,13:50,NOU,C1F1
FB775,8/11/2019,11:55,HOM,8/11/2019,13:50,NOU,C1F1
FB775,8/12/2019,11:55,HOM,8/12/2019,13:50,NOU,C1F1
FB775,8/13/2019,11:55,HOM,8/13/2019,13:50,NOU,C1F1
FB775,8/14/2019,11:55,HOM,8/14/2019,13:50,NOU,C1F1
FB775,8/15/2019,11:55,HOM,8/15/2019,13:50,NOU,C1F1
FB775,8/16/2019,11:55,HOM,8/16/2019,13:50,NOU,C1F1
FB775,8/17/2019,11:55,HOM,8/17/2019,13:50,NOU,C1F1
